"id","image","is_structure","is_confirmed","name","category_id/id","show_period_date_begin","show_period_date_end","structure_capacity","street","city","country_id/id","mobile","phone","website","facebook","instagram","comment"
"festival_1",,1,,"Les Déferlantes Sud de France","crm_booking.festival_tag",2020-07-19,2020-07-21,"sup10k",,"Argeles sur mer","base.fr",,,"https://festival-lesdeferlantes.com/","https://www.facebook.com/lesdeferlantessuddefrance/",,
"festival_2",,1,,"YEAH!","crm_booking.festival_tag,crm_booking.electro_tag",2020-06-02,2020-06-04,"sup10k",,"Lourmarin","base.fr",,,"https://festivalyeah.fr","https://www.facebook.com/FestivalYEAH",,
"festival_3",,1,,"Terre de Couleurs","crm_booking.festival_tag",2020-07-20,2020-07-20,"sup1k",,"Daumazan sur Arize","base.fr",,,"http://www.terredecouleurs.asso.fr/",,,
"festival_4",,1,,"Au Fil du Son","crm_booking.festival_tag",2020-07-25,2020-07-27,"sup30k",,"Civray","base.fr",,,"http://www.lachmiseverte.com/",,,
"festival_5",,1,,"La Déferlante","crm_booking.festival_tag,crm_booking.acoustic_tag,crm_booking.municipality_tag",2020-07-01,2020-08-01,"sup1k",,"Nantes","base.fr",,,"https://www.ladeferlante.com/contact/","https://www.facebook.com/festivalladeferlante",,
"festival_6",,1,,"Les Transes Cévenoles","crm_booking.festival_tag,crm_booking.acoustic_tag",2020-07-21,2020-07-22,"sup1k",,"Sumène","base.fr",,,,,,
"festival_7",,1,,"Marseille Jazz des 5 continents","crm_booking.festival_tag,crm_booking.jazz_tag",2020-07-17,2020-07-27,"sup5k",,"Marseille","base.fr",,,"https://www.marseillejazz.com","https://www.facebook.com/MarseilleJazzdescinqcontinents",,
"festival_8",,1,,"Nice Jazz Festival","crm_booking.festival_tag,crm_booking.municipality_tag,crm_booking.jazz_tag",2020-07-16,2020-07-20,"sup10k",,"Nice","base.fr",,,"http://www.nicejazzfestival.fr","https://www.facebook.com/NiceJazzFestival/",,
"festival_9",,1,,"Festival de la Côte d'Opale","crm_booking.festival_tag,crm_booking.municipality_tag",2020-07-15,2020-07-20,"sup10k",,"Boulogne-sur-mer ","base.fr",,,"https://www.festival-cotedopale.fr","https://www.facebook.com/festivaldelacotedopale/",,
"festival_10",,1,,"Marly Jazz","crm_booking.festival_tag,crm_booking.jazz_tag",2020-05-31,2020-06-02,"sup1k",,"Marly","base.fr",,,"http://marlyjazzfestival.com/","https://www.facebook.com/marlyjazzfestival/",,
"festival_11",,1,,"Les Vieilles Charrues","crm_booking.festival_tag",2020-07-16,2020-07-19,"sup100k",,"Carhaix-Plouguer","base.fr",,,"https://www.vieillescharrues.asso.fr","https://www.facebook.com/lesvieillescharruesofficiel/",,
"festival_12",,1,,"Paléo Festival","crm_booking.festival_tag",2020-07-21,2020-07-26,"sup100k",,"Nyon","base.ch",,,"https://yeah.paleo.ch/fr","https://www.facebook.com/paleofestivalnyon",,
